Name,Side,Special operation 1,Special operation 2,Special operation 3,Notes
George S. Patton,USA,Mechanized Advance 1,Fighting Spirit,Supply Drop,halftracks rush
Albert Kesselring,GER,Blitzkrieg,Supply Drop,Military Gear Up,tank rush
Archibald Percival Wavell,GBR,Carpet Bombing,Sandbagging,Secret Agent,defense
Bernard Montgomery,GBR,Carpet Bombing,Fighting Spirit,Code Breaker,air
Chester Nimitz,USA,Atomic Bomb,Assembly Line,Economic Aid,air
Chuichi Nagumo,JPN,Kamikaze,Industrial Sabotage,Code Breaker,Target economy
Dwight D. Eisenhower,USA,Advance,Lend Lease,Mechanized Resupply,halftracks
Erich von Manstein,GER,V Weapons,Espionage,Propaganda War,Target economy
Erwin Rommel,GER,Blitzkrieg,Forced March,Panzer Holhe,tanks
Georgi Zhukov,USSR,Communist Purge,Supply Drop,Russian Sabotage,"infantry defense, supply drop attack"
Gerd von Rundstedt,GER,V Weapons,Armored Resupply,Demoralization,tanks
Gunichi Mikawa,JPN,Banzai Charge,Lend Lease,Rapid Deployment,infantry
Henry Arnold,USA,Bombing,Propaganda War,Propaganda War,generic
Isoroku Yamamoto,JPN,Kamikaze,Demoralization,Radar Scan,air
Ivan Konev,USSR,Communist Zeal,Military Gear Up,Smoke Barrage,infantry
Konstantin Rokossovski,USSR,Communist Zeal,Rapid Deployment,Double the Guard,infantry
Lord Mountbatten,GBR,British Sabotage,Smoke Barrage ,Radar Scan,defense
Orde Wingate,GBR,British Sabotage,Infantry Resupply,Economic Aid,generic
Tadamichi Kuribayashi w,JPN,Banzai Charge,Mechanized Resupply,Espionage,generic
Vasily Chuikov,USSR,Carpet Bombing,Assembly Line,Maskirovka,tanks
